4.736495779338711, 5.500142391838162e+47
8.527347238495139, 1.3529339809778255e+48
6.3733462528411025, 8.95679857580025e+47
10.535911280601198, 2.0792063132286404e+48
12.140665757719972, 2.7528169489879278e+48
13.744684530780447, 3.4589162759607644e+48
15.34815152579722, 4.189382121343766e+48
17.101521182076965, 4.6838394909188345e+48
18.97669288211651, 5.3390869533834997e+48
20.579746043600508, 6.087827687574128e+48
22.183075094106343, 6.824385162559669e+48
23.785300588524777, 7.609675674365545e+48
24.313444139361053, 8.133379251210115e+48
26.99257352792803, 9.055639360965307e+48
28.595287740042323, 9.819348099322177e+48
29.662380495070835, 1.0389577600812245e+49
31.26842245429158, 1.1006333026947808e+49
32.87575189561433, 1.1566233243459654e+49
34.817550794431654, 1.2260038955618665e+49
37.231855624678005, 1.2953690169925442e+49
39.64698812198992, 1.3610791606616966e+49
42.91439698561392, 1.4189642088261935e+49
47.51889300944323, 1.4742867460132077e+49
53.9890718205488, 1.5178044543003929e+49
64.66865817256964, 1.4920029223372623e+49
71.0184805359962, 1.4324823294746159e+49
75.90122620034673, 1.3666803534002343e+49
80.50538604324409, 1.3080917821294405e+49
84.81077068299807, 1.2505491841986034e+49
87.35476951081374, 1.205818705888275e+49
91.73144369255233, 1.1453319941507087e+49
95.57532541428772, 1.080102828952903e+49
99.85102481119007, 1.0183984648939986e+49
102.79062927511448, 9.691195406933859e+48
106.60714048434706, 9.150063604663996e+48
109.77030008291307, 8.569651959007362e+48
113.02196258061473, 8.055372751149333e+48
116.94617354134154, 7.649506893319143e+48
120.99981861905978, 6.990660165362952e+48
125.46808043180796, 6.406031464044273e+48
130.3415036657505, 5.814366489112217e+48
135.2141360178304, 5.2576268572347346e+48
140.4917563751481, 4.701509000387076e+48
146.57973373254305, 4.1298101927920486e+48
153.47830806967227, 3.5319329327918996e+48
160.78084524346758, 2.979948891947124e+48
168.48738203913194, 2.4722336356970482e+48
177.40830873859278, 1.9917364867870257e+48
187.3633042771661, 1.552594734400923e+48
198.892007581599, 1.1708761551715324e+48
209.42876110425567, 8.750348392568038e+47
219.96419035960741, 6.376731675264768e+47
231.3083055158183, 4.585262865195642e+47
242.65175853837678, 3.0861922760485237e+47
253.99688194355844, 8.49480720484556e+46
262.90716935910376, 7.428170084716771e+46
277.4876031942577, 5.84386483630894e+46
288.82862839342386, 1.5744270453104422e+46
298.95370031766964, 1.4870254031868204e+46
